,supplier,manufacturer,small_retailer,import_port,transit_port,export_port,wholesales_consolidator,wholesales_distributor,large_retailer
mean,3784.684393209584,6282.785076177976,5818.444770689464,278861.3508856143,368047.2583776368,345777.8377894787,342794.28251048655,2314.6045557290704,2723.233623401428
std,10680.912455340109,11955.016661216721,4553.566208332328,180366.94436665613,322957.24505893653,201623.06749503544,189503.19665991774,2066.3939859233346,2333.9389059148316
p5,0.0,0.0,4.999999999999982,21597.85987031924,23864.56611187938,37591.44635526958,61384.0318979186,38.66235839270742,4.927218993441357
p95,23932.089799867623,31803.933784643617,14087.067222518319,548793.3252233381,875366.148944112,647658.3537594042,633631.212986009,6125.551497741112,7328.119741756246
avg_interval_t,2.5673758865248226,2.335483870967742,1.9105263157894736,1.9781420765027322,1.8860103626943006,1.8615384615384616,1.9206349206349207,1.989071038251366,2.0110497237569063
