,supplier,manufacturer,small_retailer,import_port,transit_port,export_port,wholesales_consolidator,wholesales_distributor,large_retailer
mean,1125.2283561643835,2000.599315068493,1449.1657534246576,70157.4804109589,91063.31534246575,86937.95068493151,86863.29575342465,532.2506849315068,683.5876712328767
std,5167.961912811594,6358.082994875004,1715.8077507676364,46144.43763080041,80946.2281243264,52110.47786362787,49537.2089621637,775.2903730213156,844.5017752960254
p5,0.0,0.0,0.0,4736.4,7871.2,9389.199999999999,14593.2,0.0,0.0
p95,1955.2,7551.500000000022,4509.2,137495.2,208218.56000000008,170667.6,166052.4,1974.7000000000003,2423.600000000001
avg_interval_t,6.1525423728813555,3.1478260869565218,1.9836065573770492,1.8520408163265305,2.08,1.9157894736842105,1.9308510638297873,2.1867469879518073,2.0681818181818183
