,supplier,manufacturer,small_retailer,import_port,transit_port,export_port,wholesales_consolidator,wholesales_distributor,large_retailer
mean,949.8367123287671,1280.3941095890411,1745.4064383561642,69056.50356164384,92871.82479452057,86810.25205479452,85870.76178082192,524.8890410958904,736.1315068493151
std,4155.6585815576955,3181.1512405489498,2313.4638010421777,45828.25368435387,77540.64103791298,51090.993693010205,49601.33734222858,777.3941468817023,951.7296441651174
p5,0.0,0.0,0.0,4547.2,7136.0,10960.8,13383.2,0.0,0.0
p95,2967.600000000014,5997.9,5834.0,144144.40000000002,218774.79000000012,171910.80000000002,164761.2,2057.2,2775.6000000000004
avg_interval_t,6.258620689655173,3.2612612612612613,1.9945054945054945,1.9411764705882353,1.8615384615384616,2.0335195530726256,1.8795811518324608,2.2134146341463414,2.0625
