,supplier,manufacturer,small_retailer,import_port,transit_port,export_port,wholesales_consolidator,wholesales_distributor,large_retailer
mean,2390.5504109589037,4041.581917808219,3617.671232876712,174111.50643835615,229559.38753424663,216420.94794520547,215070.08698630138,1335.7643835616439,1604.5054794520547
std,6714.629995516627,8431.9998998175,2847.168426362684,112870.6330241913,201190.94509480297,126513.2869486146,120000.30006004758,1183.656062638924,1439.4215024147065
p5,0.0,0.0,26.399999999999995,13626.4,17096.0,25628.0,37749.6,6.499999999999998,4.0
p95,18908.300000000007,20782.49,8617.400000000001,342960.4,551783.6500000005,414367.6,400350.0,3860.6000000000017,4502.900000000001
avg_interval_t,3.232142857142857,2.6231884057971016,1.9259259259259258,1.865979381443299,1.956989247311828,1.8666666666666667,1.9411764705882353,2.1411764705882352,2.116279069767442
