,supplier,manufacturer,small_retailer,import_port,transit_port,export_port,wholesales_consolidator,wholesales_distributor,large_retailer
mean,2242.811566337864,4363.189932118747,3550.8115539906953,174101.7608757219,230242.10123312887,216219.02272035874,213883.65385447643,1351.622786220228,1562.6470614374493
std,7708.589907125562,10070.914681073502,3435.4077794681048,114169.1830637533,205958.81230203543,126691.16921681698,120661.3729846518,1551.779549850606,1724.4882504684788
p5,0.0,0.0,0.0,13317.058022193303,15791.288362845868,26702.9827713108,35147.36107075394,0.0,0.0
p95,15677.154508928068,25989.114865559273,9636.79803735323,355309.1722029362,531769.9725680953,414166.74850039836,405584.9648389906,4394.974306367844,4837.064033613215
avg_interval_t,3.2410714285714284,2.372549019607843,1.946524064171123,2.044943820224719,2.044943820224719,1.9675675675675677,1.9206349206349207,2.1411764705882352,2.056497175141243
