,supplier,manufacturer,small_retailer,import_port,transit_port,export_port,wholesales_consolidator,wholesales_distributor,large_retailer
mean,2127.4517808219175,2435.4924657534248,4446.31191780822,174336.0084931507,233578.57342465757,216708.39452054794,213219.46246575343,1327.3027397260273,1693.4465753424658
std,6099.5521433620615,4138.501156906593,3851.619031421368,113394.46470594156,197048.20581484705,126291.25651158314,120595.88826564678,1332.1559303370684,1718.474712117377
p5,0.0,0.0,11.299999999999994,13146.4,17246.8,26140.399999999998,33742.4,20.199999999999996,2.5
p95,16490.970000000005,9365.100000000004,12298.380000000001,345928.0,612117.9200000006,416425.60000000003,399849.60000000003,3991.0000000000005,5030.000000000001
avg_interval_t,3.232142857142857,2.6115107913669067,1.9619565217391304,2.0625,1.9516129032258065,1.9782608695652173,1.9251336898395721,2.1736526946107784,2.11046511627907
