,supplier,manufacturer,small_retailer,import_port,transit_port,export_port,wholesales_consolidator,wholesales_distributor,large_retailer
mean,4229.071506849315,9548.79082191781,3142.413424657534,283168.7942465754,351182.4483561644,348682.12630136986,359583.7341095891,3904.221917808219,1972.7109589041097
std,10408.395727639636,15748.986606655286,4685.862632730475,182948.65970402237,264831.07745483605,201627.20741490988,189206.40817228437,2733.9638246670534,1367.271071976389
p5,0.0,0.0,119.89999999999999,27165.199999999997,26114.8,52570.399999999994,85820.88,495.6,116.0
p95,22342.460000000025,39538.76000000001,6719.1,577440.0,655628.8,669724.8,659418.8,8652.400000000001,4349.000000000001
avg_interval_t,2.513888888888889,2.335483870967742,2.044943820224719,1.8958333333333333,1.8375634517766497,1.8477157360406091,1.8958333333333333,2.1538461538461537,2.116279069767442
