,supplier,manufacturer,small_retailer,import_port,transit_port,export_port,wholesales_consolidator,wholesales_distributor,large_retailer
mean,2547.6969863013696,5198.67698630137,2074.4898630136986,177797.77506849315,220348.47191780823,218296.4498630137,224967.46438356163,2432.671232876712,1179.2589041095891
std,7337.647370977488,10250.837481824194,3220.105792641191,116293.26928136473,168135.02505965065,126212.29284370254,120610.65265480602,2224.4298518687397,960.0476918569697
p5,0.0,0.0,20.399999999999995,16373.97,15878.4,32157.2,51980.64,62.4,12.799999999999997
p95,19233.500000000004,25191.920000000006,4822.9000000000015,362593.6,405470.0,427496.0,414625.6,6975.400000000001,3092.6000000000004
avg_interval_t,3.1478260869565218,2.701492537313433,2.08,1.9782608695652173,1.8952879581151831,1.8958333333333333,1.989010989010989,2.1479289940828403,2.116279069767442
